Data,Opis_Transakcji,Kwota
2025-10-01,Przelew od rodzicow,800.00
2025-10-02,Biedronka,-45.30
2025-10-03,Czynsz,-850.00
2025-10-04,Zahka,-12.50
2025-10-05,Starbucks,-18.90
2025-10-06,Biedronka,-67.80
2025-10-07,Bilet miesięczny MPK,-110.00
2025-10-08,Netflix,-33.00
2025-10-09,Spotify,-19.99
2025-10-10,Lidl,-89.40
2025-10-11,Bar Pijalnia,-35.00
2025-10-12,Zahka,-8.50
2025-10-13,Empik,-45.00
2025-10-14,Biedronka,-52.30
2025-10-15,Stypendium,600.00
2025-10-16,McDonald's,-28.50
2025-10-17,Zahka,-15.20
2025-10-18,Rossmann,-34.90
2025-10-19,KFC,-32.00
2025-10-20,Biedronka,-78.60
2025-10-21,Cinema City,-30.00
2025-10-22,Costa Coffee,-21.50
2025-10-23,Kaufland,-95.30
2025-10-24,Prąd i media,-180.00
2025-10-25,Kebab King,-22.00
2025-10-26,Zahka,-9.80
2025-10-27,Pizza Hut,-45.00
2025-10-28,Lidl,-63.20
2025-10-29,Bar Przystań,-42.00
2025-10-30,Biedronka,-55.70
2025-10-31,Uber,-18.50
2025-11-01,Przelew od rodzicow,800.00
2025-11-02,Zahka,-11.30
2025-11-03,Czynsz,-850.00
2025-11-04,Biedronka,-48.90
2025-11-05,Kaufland,-72.40
2025-11-06,Bar Mleczny Uniwersytecki,-18.50
2025-11-07,Zahka,-13.70
2025-11-08,Netflix,-33.00
2025-11-09,Green Caffè Nero,-19.50
2025-11-10,Lidl,-81.20
2025-11-11,Restauracja Sushi,-67.00
2025-11-12,Biedronka,-59.30
2025-11-13,Zahka,-7.90
2025-11-14,Reserved,-120.00
2025-11-15,Stypendium,600.00
2025-11-16,Burger King,-26.50
2025-11-17,Rossmann,-42.80
2025-11-18,Biedronka,-54.60
2025-11-19,Bar Pod Kogutem,-31.00
2025-11-20,Zahka,-14.20
2025-11-21,Multikino,-28.00
2025-11-22,Lidl,-88.50
2025-11-23,Prąd i media,-175.00
2025-11-24,Zahka,-10.50
2025-11-25,Pizzeria Da Grasso,-38.00
2025-11-26,Biedronka,-61.80
2025-11-27,Starbucks,-22.90
2025-11-28,Kaufland,-76.30
2025-11-29,Bolt,-15.00
2025-11-30,Zahka,-12.40
2025-12-01,Przelew od rodzicow,1000.00
2025-12-02,Biedronka,-58.20
2025-12-03,Czynsz,-850.00
2025-12-04,Lidl,-94.70
2025-12-05,Bar Warszawa,-29.00
2025-12-06,Zahka,-16.80
2025-12-07,Bilet miesięczny MPK,-110.00
2025-12-08,Netflix,-33.00
2025-12-09,Spotify,-19.99
2025-12-10,Biedronka,-71.50
2025-12-11,McDonald's,-31.50
2025-12-12,Zahka,-9.20
2025-12-13,H&M,-85.00
2025-12-14,Kaufland,-82.40
2025-12-15,Stypendium,600.00
2025-12-16,Pasta Festiva,-42.00
2025-12-17,Zahka,-11.90
2025-12-18,Rossmann,-38.60
2025-12-19,Biedronka,-66.30
2025-12-20,Kino Helios,-32.00
2025-12-21,Lidl,-79.80
2025-12-22,Prąd i media,-190.00
2025-12-23,Prezenty świąteczne,-250.00
2025-12-24,Biedronka,-145.30
2025-12-25,Wigilia u rodziny,200.00
2025-12-26,Zahka,-8.70
2025-12-27,Bar Pod Arkadami,-36.00
2025-12-28,Kaufland,-91.20
2025-12-29,Uber,-22.00
2025-12-30,Biedronka,-54.90
2025-12-31,Sylwester - wejściówka,-80.00
2026-01-01,Przelew noworoczny od dziadków,300.00
2026-01-02,Lidl,-68.40
2026-01-03,Czynsz,-850.00
2026-01-04,Zahka,-13.50
2026-01-05,Biedronka,-49.80
2026-01-06,Costa Coffee,-19.90
